23/03/21 01:38:00 937 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:38:05 011 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:38:05 013 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:38:05 017 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:38:05 019 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:38:05 022 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:38:05 023 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:38:05 026 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:38:05 028 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:29 469 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:29 471 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:30 074 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:30 076 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:30 856 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:30 857 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:32 114 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:32 116 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:32 880 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:32 882 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:34 176 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:34 177 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:34 467 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:34 468 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:45:37 329 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:45:37 334 [info]:  >> Connection 반납됨 [threadId=978]
